Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Kum-C,FDYB1950,"\, Detroit, Michigan, United States, ",\,Detroit,Michigan,United States,,,,,,,,,,no record of a kum-c theater in detroit
Lenox,FDYB1950,"\, Detroit, Michigan, United States, ",\,Detroit,Michigan,United States,,,,,,,,,,no record of a lenox theater - only a Madison-Lenox Hotel in Detroit
Monroe (Cl.),FDYB1950,"204 Monroe Street, Detroit, Michigan, United States, 48226",204 Monroe Street,Detroit,Michigan,United States,48226,Demolished,,,,,,,https://cinematreasures.org/theaters/45219,
National,FDYB1950,"118 Monroe Street, Detroit, Michigan, United States, 48226",118 Monroe Street,Detroit,Michigan,United States,48226,Demolished,,"September 24, 1911",,1975,,,https://historicdetroit.org/buildings/national-theatre,Renamed the Palace Theatre in the 1960s and operated as an adult film venue. https://historicdetroit.org/galleries/national-theatre-old-photos -- historical photos
New Davison,FDYB1950,"1708 Davison Street, Detroit, Michigan, United States, 48238",1708 Davison Street,Detroit,Michigan,United States,48238,,,,,,,,https://cinematreasures.org/theaters/45188,"Referred to as the ""Davison"" not the ""New Davison"""
Paradise (Cl.),FDYB1950,"3711 Woodward Ave, Detroit, Michigan, United States, 48201",3711 Woodward Ave,Detroit,Michigan,United States,48201,,,,,,,,https://localwiki.org/detroit/Paradise_Theatre,
Park,FDYB1950,"\, Detroit, Michigan, United States, ",\,Detroit,Michigan,United States,,,,,,,,,,Records of two Park Theaters in Detroit - one on Davison st and one on Woodward ave
Pix,FDYB1950,"\, Detroit, Michigan, United States, ",\,Detroit,Michigan,United States,,,,,,,,,,No record of Pix Theater in Detroit - there is one in Lapeer (60 miles north)
Priscille,FDYB1950,"2946 Mount Elliott Street, Detroit, Michigan, United States, 48211",2946 Mount Elliott Street,Detroit,Michigan,United States,48211,,,,,,,,https://cinematreasures.org/theaters/45224,Building now houses a church
Rogers,FDYB1950,", Detroit, Michigan, United States, ",,Detroit,Michigan,United States,,,,,,,,,,
Rosebud,FDYB1931 - 1932,"429 Gratiot Avenue, Detroit, Michigan, United States, 48226",429 Gratiot Avenue,Detroit,Michigan,United States,48226,,,,,,,,https://cinematreasures.org/theaters/45227,
Rupert,FDYB1950,"713 St. Aubin Street, Detroit, Michigan, United States, 48207",713 St. Aubin Street,Detroit,Michigan,United States,48207,,,,,,,,https://cinematreasures.org/theaters/18754,
Russell,FDYB1950,"5335 Russell Street, Detroit, Michigan, United States, 48211",5335 Russell Street,Detroit,Michigan,United States,48211,,,,,,,,https://cinematreasures.org/theaters/4398,
Stone,FDYB1950,"2511 Woodward Avenue, Detroit, Michigan, United States, 48201",2511 Woodward Avenue,Detroit,Michigan,United States,48201,,,,,,,,https://cinematreasures.org/theaters/24125,
Warfield,FDYB1933 - FDYB1950,"5126 Hastings Street, Detroit, Michigan, United States, 48211",5126 Hastings Street,Detroit,Michigan,United States,48211,,,,,,,,https://cinematreasures.org/theaters/10672,
Willis,FDYB1931 - FDYB1950,"4190 Hastings Street, Detroit, Michigan, United States, 48201",4190 Hastings Street,Detroit,Michigan,United States,48201,,,,,,,,https://cinematreasures.org/theaters/29325,
Richard,FDYB1950,"929 Leith Street, Flint, Michigan, United States, 48505",929 Leith Street,Flint,Michigan,United States,48505,,,,,,,,https://cinematreasures.org/theaters/31449,
Tilden,FDYB1950,"\, Flint, Michigan, United States, ",\,Flint,Michigan,United States,,,,,,,,,,
Franklin,FDYB1950,"814 Division Avenue S, Grand Rapids, Michigan, United States, 49503",814 Division Avenue S,Grand Rapids,Michigan,United States,49503,,,,,,,,https://cinematreasures.org/theaters/31465,
Family,FDYB1950,"Michigan Ave and Mechanic Street, Jackson, Michigan, United States, 49201",Michigan Ave and Mechanic Street,Jackson,Michigan,United States,49201,,,,,,,,https://cinematreasures.org/theaters/23946,113 N Otsego (?)
Ritz,FDYB1950,"217 Huron Avenue, Port Huron, Michigan, United States, 48060",217 Huron Avenue,Port Huron,Michigan,United States,48060,,,,,,,,https://cinematreasures.org/theaters/67948,
Elliott,FDYB1950,"\, River Rouge, Michigan, United States, ",\,River Rouge,Michigan,United States,,,,,,,,,,
Gem,FDYB1950,"1221 N. 6th Avenue, Saginaw, Michigan, United States, 48601",1221 N. 6th Avenue,Saginaw,Michigan,United States,48601,,,,,,,,https://cinematreasures.org/theaters/69517,
Liberty,FDYB1931 - 1932,"1332 Marshall Street NE, Minneapolis, Minnesota, United States, 55413",1332 Marshall Street NE,Minneapolis,Minnesota,United States,55413,Demolished,,,,,,,https://cinematreasures.org/theaters/31173,The 385 seat Gem Theatre opened in 1912. This was an African American Theatre operated by Publix. The theatre was later renamed the Liberty Theatre.
New Bay,FDYB1931 - 1932,"/, St. Paul, Minnesota, United States, ",/,St. Paul,Minnesota,United States,,,,,,,,,,"[spelling - no record of New Bay, but New Ray exists?]"
Harlem,FDYB1950,"/, Belzoni, Mississippi, United States, ",/,Belzoni,Mississippi,United States,,,,,,,,,,
Biloxi,FDYB1950,"/, Biloxi, Mississippi, United States, ",/,Biloxi,Mississippi,United States,,,,,,,,,,
Tent Show (Port.),FDYB1950,"/, Brandon, Mississippi, United States, ",/,Brandon,Mississippi,United States,,,,,,,,,,
Peoples,FDYB1931 - 1932,"/, Brookhaven, Mississippi, United States, ",/,Brookhaven,Mississippi,United States,,,,,,,,,,
Rex,FDYB1950,"/, Brookhaven, Mississippi, United States, ",/,Brookhaven,Mississippi,United States,,,,,,,,,,
Harlem,FDYB1950,"237 W. Peace St. , Canton, Mississippi, United States, 39046",237 W. Peace St. ,Canton,Mississippi,United States,39046,Converted,,,,,,,,
Dixie,FDYB1950,"203 W. Main St., Charleston, Mississippi, United States, 38921",203 W. Main St.,Charleston,Mississippi,United States,38921,,,,,,,,,
Harlem,FDYB1950,"/, Clarksdale, Mississippi, United States, ",/,Clarksdale,Mississippi,United States,,,,,,,,,,
Roxy,FDYB1950,"357 Issaquena Ave. , Clarksdale, Mississippi, United States, 38614",357 Issaquena Ave. ,Clarksdale,Mississippi,United States,38614,Still Standing,,,,,,,,
Savoy,FDYB1950,"/, Clarksdale, Mississippi, United States, ",/,Clarksdale,Mississippi,United States,,,,,,,,,,
Booker T.,FDYB1950,"206 N. Pearman Ave, Cleveland, Mississippi, United States, 38732",206 N. Pearman Ave,Cleveland,Mississippi,United States,38732,,,,,,,,,
John's (Cl.),FDYB1950,"/, Columbia, Mississippi, United States, ",/,Columbia,Mississippi,United States,,,,,,,,,,
Joy,FDYB1950,"1820 Alton St. , Columbus, Mississippi, United States, 31903",1820 Alton St. ,Columbus,Mississippi,United States,31903,Demolished,,,,,,,,
Union,FDYB1950,"105 Gayosa St. , Granada, Mississippi, United States, 38901",105 Gayosa St. ,Granada,Mississippi,United States,38901,,,,,,,,,
Harlem,FDYB1950,"929 Nelson St. , Greenville, Mississippi, United States, 38701",929 Nelson St. ,Greenville,Mississippi,United States,38701,Demolished,,,,,,,,
Lincoln,FDYB1950,"110 North St., Greenville, Mississippi, United States, 38701",110 North St.,Greenville,Mississippi,United States,38701,,,,,,,,,
Rex,FDYB1950,"/, Greenville, Mississippi, United States, ",/,Greenville,Mississippi,United States,,,,,,,,,,
Dixie,FDYB1950,"310 E. Johnson St. , Greenwood, Mississippi, United States, 38930",310 E. Johnson St. ,Greenwood,Mississippi,United States,38930,,,,,,,,,
Walthall,FDYB1950,"704 Walthall St., Greenwood, Mississippi, United States, 38930",704 Walthall St.,Greenwood,Mississippi,United States,38930,Converted,housing,,,,,,,
Ritz,FDYB1950,"314 20th St. , Gulfport, Mississippi, United States, 39501",314 20th St. ,Gulfport,Mississippi,United States,39501,Demolished,,,,,,,,
Star,FDYB1950,"313 Mobile St. , Hattiesburg, Mississippi, United States, 39401",313 Mobile St. ,Hattiesburg,Mississippi,United States,39401,,,,,,,,,
Booth,FDYB1950,"/, Hollandale, Mississippi, United States, ",/,Hollandale,Mississippi,United States,,,,,,,,,,
Dixie,FDYB1950,"/, Indianola, Mississippi, United States, ",/,Indianola,Mississippi,United States,,,,,,,,,,
Dixie,FDYB1950,"/, Inverness, Mississippi, United States, ",/,Inverness,Mississippi,United States,,,,,,,,,,
Little Harlem,FDYB1950,"/, Inverness, Mississippi, United States, ",/,Inverness,Mississippi,United States,,,,,,,,,,
Dixie,FDYB1950,"/, Itta Bena, Mississippi, United States, ",/,Itta Bena,Mississippi,United States,,,,,,,,,,
Alamo,FDYB1927 - FDYB1950,"/, Jackson, Mississippi, United States, ",/,Jackson,Mississippi,United States,,,,,,,,,,
Amite,FDYB1950,"123 W. Amite St. , Jackson, Mississippi, United States, 39201",123 W. Amite St. ,Jackson,Mississippi,United States,39201,,,,,,,,,
Booker-T,FDYB1950,"132 N. Farish St. , Jackson, Mississippi, United States, 39269",132 N. Farish St. ,Jackson,Mississippi,United States,39269,Demolished,,,,,,,,
Grand,FDYB1950,"928 John R. Lynch St. , Jackson, Mississippi, United States, 39203",928 John R. Lynch St. ,Jackson,Mississippi,United States,39203,,,,,,,,,
Ritz,FDYB1950,"/, Jackson, Mississippi, United States, ",/,Jackson,Mississippi,United States,,,,,,,,,,
Green,FDYB1950,"/, Jonestown, Mississippi, United States, ",/,Jonestown,Mississippi,United States,,,,,,,,,,
Rose,FDYB1950,"138 S. Jackson St. , Kosciusko, Mississippi, United States, 39090",138 S. Jackson St. ,Kosciusko,Mississippi,United States,39090,Demolished,,,,,,,,
Lincoln,FDYB1950,"N. Maple St & Church St., Laurel, Mississippi, United States, 39440",N. Maple St & Church St.,Laurel,Mississippi,United States,39440,,,,,,,,,
Harlem,FDYB1950,"/, Leland, Mississippi, United States, ",/,Leland,Mississippi,United States,,,,,,,,,,
Pix,FDYB1950,"/, Leland, Mississippi, United States, ",/,Leland,Mississippi,United States,,,,,,,,,,
Alewine,FDYB1950,"/, Louisville, Mississippi, United States, ",/,Louisville,Mississippi,United States,,,,,,,,,,
Savoy,FDYB1950,"/, Macon, Mississippi, United States, ",/,Macon,Mississippi,United States,,,,,,,,,,
Liberty,FDYB1950,"/, McComb, Mississippi, United States, ",/,McComb,Mississippi,United States,,,,,,,,,,
Lyric,FDYB1950,"/, McComb, Mississippi, United States, ",/,McComb,Mississippi,United States,,,,,,,,,,
Star,FDYB1950,"2408 5th Street, Meridian, Mississippi, United States, 39301",2408 5th Street,Meridian,Mississippi,United States,39301,Demolished,Nothing,1939,1975,,,,,
Melba,FDYB1950,"/, Mound Bayou, Mississippi, United States, ",/,Mound Bayou,Mississippi,United States,,,,,,,,,,
Ace,FDYB1950,"39 St. Catherine Street, Natches, Mississippi, United States, 39120",39 St. Catherine Street,Natches,Mississippi,United States,39120,Demolished,Nothing,Before or on 1949,1955,,,,,
Hamilton,FDYB1931 - 1932,"/, Natches, Mississippi, United States, ",/,Natches,Mississippi,United States,,,,,,,,,,
Star,FDYB1950,"/, Pascagoula, Mississippi, United States, ",/,Pascagoula,Mississippi,United States,,,,,,,,,,
Royal,FDYB1950,"/, Picayune, Mississippi, United States, 39466",/,Picayune,Mississippi,United States,39466,,,Before or on 1938,1950,,,,,
Harlem,FDYB1950,"/, Ruleville, Mississippi, United States, ",/,Ruleville,Mississippi,United States,,,,,,,,,,
Star,FDYB1950,"/, Shore, Mississippi, United States, ",/,Shore,Mississippi,United States,,,,,,,,,,
Lux,FDYB1950,"/, Starkville, Mississippi, United States, ",/,Starkville,Mississippi,United States,,,,,,,,,,
Dixie,FDYB1950,"/, Sunflower, Mississippi, United States, ",/,Sunflower,Mississippi,United States,,,,,,,,,,
Tchula,FDYB1950,"Main Street and Mercer Street, Tchula, Mississippi, United States, 39169",Main Street and Mercer Street,Tchula,Mississippi,United States,39169,Demolished,Street intersection,Early 1940s,Late 1950s,,,,,
Savoy,FDYB1950,"/, Tunica, Mississippi, United States, ",/,Tunica,Mississippi,United States,,,,,,,,,,
Dixie Belle,FDYB1950,"/, Tupelo, Mississippi, United States, ",/,Tupelo,Mississippi,United States,,,,,,,,,,
Palace,FDYB1950,"1615 Washington Street, Vicksburg, Mississippi, United States, 39186",1615 Washington Street,Vicksburg,Mississippi,United States,39186,Demolished,Office building,1946,1955,,,,,
Fran (Cl.),FDYB1950,"/, Winona, Mississippi, United States, ",/,Winona,Mississippi,United States,,,,,,,,,,
New Ren,FDYB1950,"124 S. Water Street, Yazoo City, Mississippi, United States, 39194",124 S. Water Street,Yazoo City,Mississippi,United States,39194,Converted,"Music venue, later became storage for building supplies",1949,"December 15, 1953",,,,,Fire caused the theater to close
Boone,FDYB1950,"15 N. Eighth Street, Columbia, Missouri, United States, 65201",15 N. Eighth Street,Columbia,Missouri,United States,65201,Demolished,,1939,1955,,Commonwealth Amusement Corp.,,https://cinematreasures.org/theaters/7235,
Gillis,FDYB1931 - 1932,"/, Independence, Missouri, United States, ",/,Independence,Missouri,United States,,,,,,,,,,
Boone,Cinema Treasures,"1701 E. 18th Street, Kansas City, Missouri, United States, 64108",1701 E. 18th Street,Kansas City,Missouri,United States,64108,,,1924,1950,,,,https://cinematreasures.org/theaters/57684,"Named after John W. “Blind” Boone, a Kansas City pianist and ragtime composer. Part of the popular African American commercial and entertainment district on Kansas City’s east side. Currently planned rehabilitation and reopening of the Boone Theatre as part of the ongoing 18th and Vine Jazz District project."
Carver,FDYB1950,"2605-2607 Prospect Avenue, Kansas City, Missouri, United States, 64127",2605-2607 Prospect Avenue,Kansas City,Missouri,United States,64127,Converted,Church,1929,1961,,Fox Midwest Theatres,,https://cinematreasures.org/theaters/63879,Prospect Theatre renamed Carver after Fox Midwest Theatres took over in 1947. Founded in 1910 but started operating as an Af-Am theater in 1929 after conversion to sound.
Castle,FDYB1950,"1500 E. 12th Street, Kansas City, Missouri, United States, 64106",1500 E. 12th Street,Kansas City,Missouri,United States,64106,Demolished,,1936,1966,,Jasper Brancito and John Donici,,https://cinematreasures.org/theaters/12285," In 1968, the Land Clearance for Redevelopment Authority of Kansas City targeted the African American business district on The Paseo for Urban Renewal decimating the neighborhood. Buildings that weren’t immediately sold were targeted by arsonists setting off a string of fires on June 24, 1969 that including the Castle Theatre Building. It would later be razed along with the entirety of the business district."
Columbia,FDYB1931 -,"/, Kansas City, Missouri, United States, ",/,Kansas City,Missouri,United States,,,,,,,,,,
Eblon,FDYB1931 - 1932,"1822 Vine Street, Kansas City, Missouri, United States, 64108",1822 Vine Street,Kansas City,Missouri,United States,64108,Demolished,Nightclub,1923,1933,,,,https://cinematreasures.org/theaters/55775,"Opened with Mae Murray in “Broadway Rose”. converted into the Cherry Blossom nightclub where Count Basie formed his first orchestra and also played the organ. The Cherry Blossom was renamed Cez Paree by 1944 and it closed around 1960. The building stood vacant until it was severely damaged by a fire on August 2, 1984. Only the facade remains today."
Gem,FDYB1931 - FDYB1950,"1615 E. 18th Street, Kansas City, Missouri, United States, 64108",1615 E. 18th Street,Kansas City,Missouri,United States,64108,Still Standing,Jazz venue,1912,,,,,https://cinematreasures.org/theaters/6305,
Lincoln,FDYB1931 - FDYB1950,"1332 E. 18th Street, Kansas City, Missouri, United States, 64106",1332 E. 18th Street,Kansas City,Missouri,United States,64106,Demolished,,1920,1953,,Fox Midwest Theatres,,https://cinematreasures.org/theaters/8905,
Linwood,Cinema Treasures,"3036 Prospect Avenue, Kansas City, Missouri, United States, 64128",3036 Prospect Avenue,Kansas City,Missouri,United States,64128,Demolished,,1915,1966,,,,https://cinematreasures.org/theaters/8907,
Paseo (Marlborough Theatre),Cinema Treasures,"8100 The Paseo, Kansas City, Missouri, United States, 64133",8100 The Paseo,Kansas City,Missouri,United States,64133,Demolished,,1924,1950,,,,https://cinematreasures.org/theaters/12280,Gutted by fire several times.
Lincoln,FDYB1950,"/, Kinloch Park, Missouri, United States, ",/,Kinloch Park,Missouri,United States,,,,,,,,,,
Lyric,FDYB1927,"/, McComb, Missouri, United States, ",/,McComb,Missouri,United States,,,,,,,,,,
Charwood,FDYB1933,"124 North 3rd Street, St. Joseph, Missouri, United States, 64501",124 North 3rd Street,St. Joseph,Missouri,United States,64501,,,1930,,,,,https://www.stjosephmemorylane.com/theater/theater.html,
Dudley,FDYB1931 - 1932,"211 North 2nd Street, St. Joseph, Missouri, United States, 64501",211 North 2nd Street,St. Joseph,Missouri,United States,64501,,,1915,,,,,https://www.stjosephmemorylane.com/theater/theater.html,
Palace,FDYB1931 -,"707 Edmond St, St. Joseph, Missouri, United States, 64501",707 Edmond St,St. Joseph,Missouri,United States,64501,,,1908,,,,,https://www.stjosephmemorylane.com/theater/theater.html,Changed location in 1915 to 2018 St Joseph Avenue. Currently Foxy's Hair Den.
Amytis (Amythis),FDYB1950,"4300 Saint Ferdinand Avenue, St. Louis, Missouri, United States, 63120",4300 Saint Ferdinand Avenue,St. Louis,Missouri,United States,63120,Demolished,,1934,1960,,Marvin Banks (operator),,https://cinematreasures.org/theaters/5446,demolished in preparation for a neighborhood redevelopment project that never materialized.
Booker  T. Washington ,FDYB1931 - 1932,"2248 Market Street, St. Louis, Missouri, United States, 63103",2248 Market Street,St. Louis,Missouri,United States,63103,Demolished,,1913,1930,,,,https://cinematreasures.org/theaters/6657,This the theatre where Josephine Baker made her stage debut in 1919. Operated by Black people for Black people. Correct address was 23rd & Market (2248 Market Street).
Carver,FDYB1950,"1310 Dr Martin Luther King Drive, St. Louis, Missouri, United States, 63106",1310 Dr Martin Luther King Drive,St. Louis,Missouri,United States,63106,Demolished,Office building,1944,1955,,,,https://cinematreasures.org/theaters/5676,"Former Palace (1910-1932) / Globe (1932-1944) Theatres,  screening Robert Preston in “Pacific Blackout” & Dennis O'Keefe in “Moonlite Masquerade”."
Casino,FDYB1931-,"/, St. Louis, Missouri, United States, 63103",/,St. Louis,Missouri,United States,63103,Demolished,,,,,,,,"Two locations, need to check which one is more likely to be the Black theater. 
(1) https://cinematreasures.org/theaters/71441 
(2) https://cinematreasures.org/theaters/10791 "
Comet,FDYB1931 -,"4106 Finney Avenue, St. Louis, Missouri, United States, 63113",4106 Finney Avenue,St. Louis,Missouri,United States,63113,Demolished,,1940,1975,,,,https://cinematreasures.org/theaters/5678,"The theatre survived until at least 1975. It stood closed for many years, but had a huge hole in the side of the building. You could look in and still see the seats and the torn screen. It was later demolished."
Criterion,FDYB1931 - FDYB1950,"\, St. Louis, Missouri, United States, ",\,St. Louis,Missouri,United States,,Still Standing,,,,,,,,Appears in Christopher Harris' still/here
Douglass,FDYB1931 - FDYB1950,"4201 Finney Avenue, St. Louis, Missouri, United States, 63113",4201 Finney Avenue,St. Louis,Missouri,United States,63113,Demolished,,1918,1962,,Charles Pittman (1918-1927) Thomas James (1927-1962),,https://cinematreasures.org/theaters/39697,"Formerly the Jest-A-Mere Theatre owned by Charles Pitman (1918-1927). Pittman was the only African American owner/builder of a new-build St. Louis movie theater at that time as labor unions reportedly tried to tamper with the construction of the venue. Ralph Graves in “The Swell-Head” for the 1927 reopening as The Douglass. When the theatre opened, newspaper coverage said: “Entirely built by Colored labor, completion of big building is a triumph for the race; continuous fight made by unions to force Colored men off the job”. last open on April 22, 1962 screening Elizabeth Taylor in “Butterfield 8” & Kirk Douglas in “The Last Sunset”. "
Marquette,FDYB1950,"1806 Dr Martin Luther King Drive, St. Louis, Missouri, United States, 63106",1806 Dr Martin Luther King Drive,St. Louis,Missouri,United States,63106,Demolished,,1943,1957,urban redevelopment,,,https://cinematreasures.org/theaters/6665,"originally served the Irish/Italian neighborhood to the north of downtown. closed on January 22, 1957 with Wendell Corey in “The Bold and the Brave” & John Payne in “Slightly Scarlet”. The area was mainly demolished to make way for an industrial park."
Movie,FDYB1931 -,"/, St. Louis, Missouri, United States, ",/,St. Louis,Missouri,United States,,,,,,,,,,
New Movie,FDYB1950,"\, St. Louis, Missouri, United States, ",\,St. Louis,Missouri,United States,,,,,,,,,,
Olympia,FDYB1931 -,"1420 Market Street, St. Louis, Missouri, United States, 63103",1420 Market Street,St. Louis,Missouri,United States,63103,Demolished,,1912,1929,,,,https://cinematreasures.org/theaters/55248,
Palace,FDYB1931 -,"1310 Dr Martin Luther King Drive, St. Louis, Missouri, United States, 63106",1310 Dr Martin Luther King Drive,St. Louis,Missouri,United States,63106,Demolished,,1910,1932,,,,https://cinematreasures.org/theaters/5676,"Renamed the Globe Theater in 1932, then Carver in 1944. "
Regal,FDYB1950,"3144 Dr. Martin Luther King Drive, St. Louis, Missouri, United States, 63106",3144 Dr. Martin Luther King Drive,St. Louis,Missouri,United States,63106,Demolished,,1937,1986,urban redevelopment,Arthur Theatre chain,,https://cinematreasures.org/theaters/6469,"opened on December 17, 1937 with Paul Robeson in “King Solomon’s Mines” & William Hall in “Escape by Night”. When the neighborhood changed Arthur Theatre’s sold the building to a black couple since the neighborhood was changing and the couple operated the theatre until it closed in 1986. It was later demolished in a redevelopment of the area for Federal Housing."
Retina,FDYB1931 - 1932,"2008 Market Street, St. Louis, Missouri, United States, 63103",2008 Market Street,St. Louis,Missouri,United States,63103,Demolished,,1910,1929,urban redevelopment,John Gentner,,https://cinematreasures.org/theaters/45272,Last film screened: John Gilbert in “The Cossacks”. The reason for closure was the plan to build the 20th Street road project thru the site of the theatre. The site is now a restaurant.
Roosevelt,FDYB1931 - FDYB1950,"810 N. Leffingwell Street, St. Louis, Missouri, United States, 63103",810 N. Leffingwell Street,St. Louis,Missouri,United States,63103,Demolished,,1923,1966,,Chris Zotos,,https://cinematreasures.org/theaters/6472,"One of 6 Black theaters in the nbd, incl the Criterion. The theatre closed in 1966 when the neighborhood was slated for redevelopment. It remained a busy theatre until the day it was closed. Admission prices remained the mainstay until the theatre closed. When it closed adults were 75 cents and children were 25 cents. Owners Chris Zotos & William Zotos were Greek immigrants."
Star,FDYB1931 - FDYB1950,"16 South Jefferson Avenue, St. Louis, Missouri, United States, 63103",16 South Jefferson Avenue,St. Louis,Missouri,United States,63103,Demolished,,1918,1959,, Komm Theatre chain,,https://cinematreasures.org/theaters/6479," closed on January 29, 1959 with Doris Day in “The Tunnel of Love” & Jon Hall in “Forbidden Island”. Closure was due to the area being redeveloped for a large hotel."
Strand,FDYB1950,"/, St. Louis, Missouri, United States, ",/,St. Louis,Missouri,United States,,,,,,,,,,
Venus,FDYB1927 -,"4264 Finney Avenue, St. Louis, Missouri, United States, 63113",4264 Finney Avenue,St. Louis,Missouri,United States,63113,Demolished,,1915,1933,,,,https://cinematreasures.org/theaters/46815,
Alhambra,FDYB1931 - 1932,"1814 N. 24th Street, Omaha, Nebraska, United States, 68110",1814 N. 24th Street,Omaha,Nebraska,United States,68110,Demolished,Nothing,1908,1931,"Closed to competition from nearby Ritz Theatre, later demolished due to building fire",,,https://cinematreasures.org/theaters/68208,"Under Franklin E. Goff’s operation, the venue served integrated audiences. But following World War I, the neighborhood was primarily an African-American business district. The Alhambra Theatre advertised only in the African-American newspaper in the 1920’s before closing without transitioning to sound in 1931. https://northomahahistory.com/2018/11/23/a-history-of-north-omahas-alhambra-theater/"
Lake,FDYB1931 - 1932,"2410 Lake Street, Omaha, Nebraska, United States, 68110",2410 Lake Street,Omaha,Nebraska,United States,68110,Demolished,Parking lot,1919,1929,,,,https://cinematreasures.org/theaters/41951,"Originally Diamond Moving Picture Theater, built around 1900, and was segregated. Later destroyed by tornado in 1913, rebuilt and opened as Finch theater in 1915. Later operated as a Black theater in 1919. Renamed Lake Theater in 1925. Close 1929, converted into office space. https://northomahahistory.com/2020/10/05/a-history-of-2410-lake-street/"
Ritz,FDYB1933 - FDYB1950,"2041 N. 24th Street, Omaha, Nebraska, United States, 68110",2041 N. 24th Street,Omaha,Nebraska,United States,68110,Demolished,Grass field,1930,1968,Urban renewal project that dispered a predominately Black business district,,,https://cinematreasures.org/theaters/68209,24th St Business District was almost exclusively a Black neighborhood. 
State (Cl.),FDYB1950,"\, Asbury Park, New Jersey, United States, ",\,Asbury Park,New Jersey,United States,,,,,,,,,,
Alan,FDYB1950,"1615 Arctic Avenue, Atlantic City, New Jersey, United States, 08401",1615 Arctic Avenue,Atlantic City,New Jersey,United States,08401,,,1937,1957,,,,https://cinematreasures.org/theaters/11456,
Lyric,FDYB1950,"1013-15 South Broadway, Camden, New Jersey, United States, 08103",1013-15 South Broadway,Camden,New Jersey,United States,08103,,,1921,1956,,,,https://cinematreasures.org/theaters/10781,
Roxy,FDYB1950,"1117 South Broadway, Camden, New Jersey, United States, 08103",1117 South Broadway,Camden,New Jersey,United States,08103,Converted,church,1914,,,,,https://cinematreasures.org/theaters/10780,originally named the Garden Theater until 1950
Opera House,FDYB1925,"\, Fairview, New Jersey, United States, ",\,Fairview,New Jersey,United States,,,,,,,,,,
Palace,FDYB1950,"44 Speedwell Avenue, Morristown, New Jersey, United States, 07960",44 Speedwell Avenue,Morristown,New Jersey,United States,07960,Demolished,,1910,1955,,,,https://cinematreasures.org/theaters/12704,
Adams,FDYB1950,"28 Branford Place, Newark, New Jersey, United States, 07102",28 Branford Place,Newark,New Jersey,United States,07102,,,1912,1986,,,,https://cinematreasures.org/theaters/7011,"originally named Shubert Theatre until 1913, renamed New Payton Theater until 1939"
Court,FDYB1950,"16 W. Market Street, Newark, New Jersey, United States, 07102",16 W. Market Street,Newark,New Jersey,United States,07102,Demolished,,,1950s,,,,https://cinematreasures.org/theaters/11028,
Essex,FDYB1950,"100 Springfield Avenue, Newark, New Jersey, United States, 07103",100 Springfield Avenue,Newark,New Jersey,United States,07103,Demolished,,,,,,,https://cinematreasures.org/theaters/17156,
Garden,FDYB1950,"304 Market Street, Newark, New Jersey, United States, 07103",304 Market Street,Newark,New Jersey,United States,07103,,,,,,,,,
Luxor,FDYB1950,"264 Market Street, Newark, New Jersey, United States, 07102",264 Market Street,Newark,New Jersey,United States,07102,Demolished,,1937,1963,,,,https://cinematreasures.org/theaters/10991,revamped into a 'porno house' in later 1950s
Lyric,FDYB1950,"211 Market Street, Newark, New Jersey, United States, 07102",211 Market Street,Newark,New Jersey,United States,07102,Demolished,,1908,1960s,,,,https://cinematreasures.org/theaters/10976,
National,FDYB1950,"182 Irvine Turner Boulevard, Newark, New Jersey, United States, 07108",182 Irvine Turner Boulevard,Newark,New Jersey,United States,07108,,,1914,,,,,https://cinematreasures.org/theaters/10855,
Orpheum,FDYB1931 -,"581 Summit Avenue, Newark, New Jersey, United States, 07306",581 Summit Avenue,Newark,New Jersey,United States,07306,Demolished,,1910,1960,,,,https://cinematreasures.org/theaters/2646,
Paramount,FDYB1950,"195 Market Street, Newark, New Jersey, United States, 07102",195 Market Street,Newark,New Jersey,United States,07102,,,1886,1986,,,,https://cinematreasures.org/theaters/4603,still-standing but abondoned and caved in
Savoy,FDYB1950,"101 Springfield Avenue, Newark, New Jersey, United States, 07103",101 Springfield Avenue,Newark,New Jersey,United States,07103,Demolished,,1922,,,,,https://cinematreasures.org/theaters/13123,
Cavern,FDYB1950,"210 N. Canyon Street, Carlsbad, New Mexico, United States, 88220",210 N. Canyon Street,Carlsbad,New Mexico,United States,88220,Converted,Performing arts center,"April 3, 1951","October 2, 1979",,,,,"Closed as movie theatre on October 2, 1979. Still used as an area for musical performances and events."
Scout,FDYB1950,"119 E. Broadway Street, Hobbs, New Mexico, United States, 88240",119 E. Broadway Street,Hobbs,New Mexico,United States,88240,Converted,Insurance agency,1940,,,,,,
Broadway,FDYB1931 -,"512 Broadway St. , Buffalo, New York, United States, 14204",512 Broadway St. ,Buffalo,New York,United States,14204,,,1914,1965,,,,,
Broadway Lyceum,FDYB1931 -,"330 Broadway St. , Buffalo, New York, United States, 14204",330 Broadway St. ,Buffalo,New York,United States,14204,Converted,church,1910,1959,,,,,
McClain's,FDYB1930,"/, Buffalo, New York, United States, ",/,Buffalo,New York,United States,,,,,,,,,,
